İsim,Seviye,Tam İsim
GİRNE,1,GİRNE
GÜZELYURT,1,GÜZELYURT
İSKELE,1,İSKELE
LEFKE,1,LEFKE
LEFKOŞA,1,LEFKOŞA
MAĞUSA,1,MAĞUSA
ALSANCAK,2,GİRNE / ALSANCAK
ÇATALKÖY,2,GİRNE / ÇATALKÖY
DİKMEN,2,GİRNE / DİKMEN
ESENTEPE,2,GİRNE / ESENTEPE
KARMİ,2,GİRNE / KARMİ
LAPTA,2,GİRNE / LAPTA
MERKEZ,2,GİRNE / MERKEZ
MERKEZ,2,GÜZELYURT / MERKEZ
BÜYÜKKONUK,2,İSKELE / BÜYÜKKONUK
DİPKARPAZ,2,İSKELE / DİPKARPAZ
KANTARA,2,İSKELE / KANTARA
MEHMETÇİK,2,İSKELE / MEHMETÇİK
MERKEZ,2,İSKELE / MERKEZ
YENİERENKÖY,2,İSKELE / YENİERENKÖY
MERKEZ,2,LEFKE / MERKEZ
AKINCILAR,2,LEFKOŞA / AKINCILAR
ALAYKÖY,2,LEFKOŞA / ALAYKÖY
DEĞİRMENLİK,2,LEFKOŞA / DEĞİRMENLİK
GÖNYELİ,2,LEFKOŞA / GÖNYELİ
MERKEZ,2,LEFKOŞA / MERKEZ
AKDOĞAN,2,MAĞUSA / AKDOĞAN
BEYARMUDU,2,MAĞUSA / BEYARMUDU
GEÇİTKALE,2,MAĞUSA / GEÇİTKALE
İNÖNÜ,2,MAĞUSA / İNÖNÜ
MERKEZ,2,MAĞUSA / MERKEZ
PAŞAKÖY,2,MAĞUSA / PAŞAKÖY
PİLE,2,MAĞUSA / PİLE
SERDARLI,2,MAĞUSA / SERDARLI
TATLISU,2,MAĞUSA / TATLISU
VADİLİ,2,MAĞUSA / VADİLİ
YENİBOĞAZİÇİ,2,MAĞUSA / YENİBOĞAZİÇİ
ÇATALKÖY KÜÇÜK ESNAF SANAYİ BÖLGESİ,3,GİRNE / ÇATALKÖY / KÜÇÜK ESNAF SANAYİ BÖLGESİ
KARAOĞLANOĞLU KÜÇÜK ESNAF SANAYİ BÖLGESİ,3,GİRNE / MERKEZ / KARAOĞLANOĞLU KÜÇÜK ESNAF SANAYİ BÖLGESİ
ILGAZ,3,GİRNE / ALSANCAK / ILGAZ
MALATYA - İNCESU,3,GİRNE / ALSANCAK / MALATYA - İNCESU
YAYLA,3,GİRNE / ALSANCAK / YAYLA
YEŞİLOVA,3,GİRNE / ALSANCAK / YEŞİLOVA
YEŞİLTEPE,3,GİRNE / ALSANCAK / YEŞİLTEPE
ARAPKÖY,3,GİRNE / ÇATALKÖY / ARAPKÖY
MERKEZ,3,GİRNE / ÇATALKÖY / MERKEZ
AĞIRDAĞ,3,GİRNE / DİKMEN / AĞIRDAĞ
AKÇİÇEK,3,GİRNE / DİKMEN / AKÇİÇEK
AŞAĞI DİKMEN,3,GİRNE / DİKMEN / AŞAĞI DİKMEN
AŞAĞI TAŞKENT,3,GİRNE / DİKMEN / AŞAĞI TAŞKENT
BOĞAZKÖY,3,GİRNE / DİKMEN / BOĞAZKÖY
DAĞYOLU,3,GİRNE / DİKMEN / DAĞYOLU
GÖÇERİ,3,GİRNE / DİKMEN / GÖÇERİ
GÜNGÖR,3,GİRNE / DİKMEN / GÜNGÖR
KÖMÜRCÜ,3,GİRNE / DİKMEN / KÖMÜRCÜ
PINARBAŞI,3,GİRNE / DİKMEN / PINARBAŞI
ŞİRİNEVLER,3,GİRNE / DİKMEN / ŞİRİNEVLER
YUKARI DİKMEN,3,GİRNE / DİKMEN / YUKARI DİKMEN
YUKARI TAŞKENT,3,GİRNE / DİKMEN / YUKARI TAŞKENT
BAHÇELİ,3,GİRNE / ESENTEPE / BAHÇELİ
BEŞPARMAK,3,GİRNE / ESENTEPE / BEŞPARMAK
MERKEZ,3,GİRNE / ESENTEPE / MERKEZ
KARAAĞAÇ,3,GİRNE / ESENTEPE / KARAAĞAÇ
KARAMAN,3,GİRNE / KARMİ / KARAMAN
ADATEPE,3,GİRNE / LAPTA / ADATEPE
AKDENİZ,3,GİRNE / LAPTA / AKDENİZ
ALEMDAĞ,3,GİRNE / LAPTA / ALEMDAĞ
ÇAMLIBEL,3,GİRNE / LAPTA / ÇAMLIBEL
GEÇİTKÖY,3,GİRNE / LAPTA / GEÇİTKÖY
HİSARKÖY,3,GİRNE / LAPTA / HİSARKÖY
KARPAŞA,3,GİRNE / LAPTA / KARPAŞA
KARŞIYAKA,3,GİRNE / LAPTA / KARŞIYAKA
KAYALAR,3,GİRNE / LAPTA / KAYALAR
KILIÇARSLAN,3,GİRNE / LAPTA / KILIÇARSLAN
KOCATEPE,3,GİRNE / LAPTA / KOCATEPE
KORUÇAM,3,GİRNE / LAPTA / KORUÇAM
KOZAN,3,GİRNE / LAPTA / KOZAN
ÖZHAN,3,GİRNE / LAPTA / ÖZHAN
SADRAZAMKÖY,3,GİRNE / LAPTA / SADRAZAMKÖY
TEPEBAŞI,3,GİRNE / LAPTA / TEPEBAŞI
TINAZTEPE,3,GİRNE / LAPTA / TINAZTEPE
TÜRK,3,GİRNE / LAPTA / TÜRK
YAVUZ,3,GİRNE / LAPTA / YAVUZ
AŞAĞI GİRNE,3,GİRNE / MERKEZ / AŞAĞI GİRNE
